time,unit_impulse,unit_step,rectangular_pulse,sine_wave,cosine_wave,square_wave,triangular_wave,sawtooth_wave,exponential_decay,complex_exponential_real,complex_exponential_imag,gaussian_pulse,sinc_function,chirp_signal,white_noise,impulse_train
0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,1.0,1.0,0.0,1.9287498479639178e-22,3.8981718325193755e-17,0.0,0.06652945349006223,1.0
0.001,0.0,0.0,0.0,0.03141075907812829,0.9995065603657316,1.0,-0.98,-0.99,0.9801986733067553,0.9995065603657316,0.03141075907812829,2.355309275139791e-22,0.0020039948302139248,0.03142331924551691,1.313115800321802,0.0
0.002,0.0,0.0,0.0,0.06279051952931337,0.9980267284282716,1.0,-0.96,-0.98,0.9607894391523232,0.9980267284282716,0.06279051952931337,2.875055693946053e-22,0.004015958559288169,0.06284068574497825,-0.8027831580581509,0.0
0.003,0.0,0.0,0.0,0.09410831331851433,0.99556196460308,1.0,-0.94,-0.97,0.9417645335842487,0.99556196460308,0.09410831331851433,3.50809110871071e-22,0.006035859859711979,0.09422090812195508,-1.3944683654824208,0.0
0.004,0.0,0.0,0.0,0.12533323356430426,0.9921147013144779,1.0,-0.92,-0.96,0.9231163463866358,0.9921147013144779,0.12533323356430426,4.278797644175367e-22,0.008063667157617598,0.12553270752606466,0.3583782686321272,0.0
0.005,0.0,0.0,0.0,0.15643446504023087,0.9876883405951378,1.0,-0.9,-0.95,0.9048374180359595,0.9876883405951378,0.15643446504023087,5.216736662027038e-22,0.010099348633439868,0.15674474875888042,-0.1662196359437773,0.0
0.006,0.0,0.0,0.0,0.18738131458572463,0.9822872507286887,1.0,-0.88,-0.94,0.8869204367171575,0.9822872507286887,0.18738131458572463,6.357734135491351e-22,0.012142872222584151,0.18782567167932843,-0.08021863621456349,0.0
0.007,0.0,0.0,0.0,0.21814324139654254,0.9759167619387474,1.0,-0.86,-0.9299999999999999,0.8693582353988059,0.9759167619387474,0.21814324139654254,7.745190312479511e-22,0.014194205616100441,0.21874412285823178,0.03098141681225155,0.0
0.008,0.0,0.0,0.0,0.2486898871648548,0.9685831611286311,1.0,-0.84,-0.92,0.8521437889662113,0.9685831611286311,0.2486898871648548,9.431659347155082e-22,0.01625331626136651,0.24946878745109227,0.02630930603227817,0.0
0.009,0.0,0.0,0.0,0.2789911060392292,0.9602936856769431,1.0,-0.8200000000000001,-0.91,0.835270211411272,0.9602936856769431,0.2789911060392292,1.1480753743885914e-21,0.01832017136277793,0.2799684212576562,-0.02456225883882793,0.0
0.01,0.0,0.0,0.0,0.3090169943749474,0.9510565162951535,1.0,-0.8,-0.9,0.8187307530779818,0.9510565162951535,0.3090169943749474,1.3969439431470991e-21,0.02039473788244581,0.31021188293629076,2.164323964644857,0.0
