signal_name,mean,std,max,min,energy,rms
unit_impulse,0.001,0.031606961258558226,1.0,0.0,1.0,0.03162277660168379
unit_step,0.5,0.5,1.0,0.0,500.0,0.7071067811865476
rectangular_pulse,0.1,0.30000000000000004,1.0,0.0,100.0,0.31622776601683794
sine_wave,-5.684341886080802e-17,0.7071067811865476,1.0,-1.0,500.00000000000006,0.7071067811865476
cosine_wave,-5.684341886080802e-17,0.7071067811865476,1.0,-1.0,499.99999999999994,0.7071067811865475
square_wave,0.002,0.999997999998,1.0,-1.0,1000.0,1.0
triangular_wave,-1.7763568394002505e-17,0.5774080013300821,1.0,-1.0,333.40000000000003,0.5774080013300821
sawtooth_wave,-0.004999999999999985,0.5773430522661549,0.9900000000000002,-1.0,333.35,0.5773647027659381
exponential_decay,0.05050166655146397,0.15150219443946208,1.0,2.1027916876128178e-09,25.503333244447827,0.1596976306788796
complex_exponential_real,-5.684341886080802e-17,0.7071067811865476,1.0,-1.0,499.99999999999994,0.7071067811865475
complex_exponential_imag,-5.684341886080802e-17,0.7071067811865476,1.0,-1.0,500.00000000000006,0.7071067811865476
gaussian_pulse,0.12533141373155005,0.27002727506184787,1.0,1.9287498479639178e-22,88.6226925452758,0.2976956374307084
sinc_function,0.5894895389026643,0.3223565577349578,1.0,3.8981718325193755e-17,451.411666790407,0.6718717636501828
chirp_signal,0.014091872493466832,0.7069071446521694,0.9999997251512692,-0.9999978763777119,499.9162920306552,0.7070475882362199
white_noise,0.007286118321311127,1.0048004871382756,3.338670168711172,-3.447616289336781,1009.677106473508,1.0048269037369113
impulse_train,0.01,0.09949874371066199,1.0,0.0,10.0,0.1
